"greco","ser","year","V","PV","GTOT","NT","mqd"
"G","G23",1987,148.794973618454,7.51453594516802,21.5222809384303,856.872352171782,0.561812004844726
"G","G23",1997,192.482511817801,9.20462895796668,25.1649584195425,872.201908518157,0.602135904394236
"G","G23",2002,237.515741974017,9.66377604445555,25.8233516152461,726.096367203235,0.668519538058867
"G","G30",1982,135.239125950809,4.34274267112789,19.9082121115341,657.082169683201,0.617037019251776
"G","G30",1987,144.161742520943,5.16640256510017,22.4401340610064,711.617012202509,0.629498202880756
"G","G30",1992,146.40523769071,5.64088936249077,23.3922173921257,784.514440511309,0.612125055877205
"G","G30",1997,153.557943379809,6.67425108292371,24.7807387754856,864.748263001418,0.600091130267242
"G","G30",2002,189.552129937556,6.65589866890365,26.0561010207638,698.052584437581,0.684881723605314
"G","G41",1982,148.606812742674,7.71014008579656,20.1928265093768,934.655690456947,0.521047914273692
"G","G41",1987,167.735340169418,8.48999161304171,23.4754351262135,927.686698469506,0.563911683447369
"G","G41",1992,197.930279548101,9.06540012850443,25.4279239636506,852.726271716102,0.612146770120002
"G","G41",2002,238.815750015945,9.74720489169676,26.7924878634089,783.298775104879,0.655613261350307
"G","G42",1982,134.878029431156,5.70680652894086,21.5138354122877,822.252477650299,0.573404712058119
"G","G42",1992,223.170991515666,9.18647067498496,29.3019363204941,814.818790604872,0.672237250494894
"G","G42",1997,132.293221102719,5.425071407879,22.7317737497754,745.606911932483,0.618965769127966
"G","G50",1982,114.185511871509,3.92852750764318,18.8500941224428,710.373015684318,0.577455424777889
"G","G50",1987,142.320351850275,4.75766824819586,21.9261343122105,726.590779104788,0.615801902102758
"G","G50",1992,126.533913756514,4.45369872659893,21.0013442750767,702.407604689342,0.612962458838322
"G","G50",2002,168.465755383621,5.88108386692265,24.120660941004,672.60807516389,0.671302856923859
"G","G60",1982,58.5964473818654,2.30666158467308,11.5316469206108,612.951658037332,0.486225227522599
"G","G60",1992,66.7120378189496,2.52216969160446,13.5621023533286,630.478428922467,0.519916169996128
"G","G60",1997,46.0747777475625,1.63770703203901,10.7316357694942,539.235828614135,0.500090407228582
"G","G70",1982,84.9690096169024,3.43940452940079,17.1471644517052,717.217222403468,0.548120106826897
"G","G70",1992,93.4466990088013,3.36371935957297,17.3768242589593,658.121377773773,0.576019435658565
"G","G70",1997,91.6506868532951,3.98942023351767,18.517315427408,580.669098039722,0.633037717823362
"G","G80",1982,83.3502998393421,4.16389116635949,15.3653988221968,835.463493365463,0.480743157787307
"G","G80",1987,123.562337253418,6.82657357875523,22.224257915,904.83907750943,0.555562459760257
"G","G80",1992,137.955218005731,7.06171966562811,22.4022851808742,883.49743248732,0.564479854124849
"G","G80",1997,77.8448448545929,4.00050354620232,16.3706995206963,888.712868081797,0.481124880622391
"G","G90",1982,102.232527631179,4.50652714927166,16.9350989525076,803.577712832044,0.514617866236145
"G","G90",1987,138.779210164345,4.91165315407834,19.4861390666847,735.75205377377,0.576902059427899
"G","G90",1992,122.553751004598,4.14407318657839,19.5725600140238,748.260917953484,0.573326766052057
"G","G90",2002,149.175046485416,4.58475865227282,20.1454550527002,714.894222613936,0.595076197528233
"H","H10",1982,175.732818307581,4.77954516320168,22.2166951096608,732.842131011182,0.617219225235946
"H","H10",1987,213.555753588299,5.82011348884087,23.2902229042337,665.592370590583,0.663113068457183
"H","H10",1997,233.525249547609,6.01140860360346,26.142239081271,657.012163739143,0.707114296696771
"H","H10",2002,206.144431274711,5.86956373914116,25.0048753210567,781.624402252661,0.634042287187543
"H","H21",1982,187.488381998018,6.25983771926717,21.7936545268644,675.235803880582,0.636857447554199
"H","H21",1987,176.127741046131,4.92424027825692,20.4934358040432,536.401514181689,0.692894832229444
"H","H21",1997,201.761642273418,6.19789301758306,23.5225575300316,590.33715353613,0.707615183718169
"H","H21",2002,189.669588625539,5.32685650982073,21.3108115918646,477.696394344261,0.748736396858401
"H","H22",1982,79.6478184551952,2.32313693112547,10.786708771868,364.369159050152,0.609928045788398
"H","H22",1987,132.31291935759,3.1031716242778,16.6542248816331,449.352896280728,0.682453981301679
"H","H22",1997,95.1017300695793,2.48560331516618,12.2241591964553,304.243561642738,0.710564869916445
"H","H22",2002,142.826509944556,3.74572888610003,18.3683704011668,489.454562941034,0.686726893391391
"H","H30",1982,79.2874099558366,2.51850679733775,16.199547312572,835.458065143271,0.493621472680466
"H","H30",1987,75.8481715658125,2.30274577120275,15.2584202133392,638.268844740792,0.548097592562752
"H","H30",1997,78.7882528810219,2.45498237117773,16.5476402713031,767.723774884328,0.520439765592249
"H","H30",2002,98.1570658031338,2.41957470287035,19.5081518452581,637.172024082513,0.620275526520533
"H","H41",1982,121.498387091371,3.33721996431061,18.6857281651437,636.957573689031,0.607162153031592
"H","H41",1987,104.017787172972,2.56720518915149,15.5899655365185,502.951762131482,0.624114600472354
"H","H41",1997,138.51469180751,3.90830492448238,20.7972181692945,614.296667154052,0.652256591046918
